"Var1","Freq"
"according",1
"adopting",1
"also",2
"approaches",1
"aspects",1
"assistant",1
"author",1
"available",1
"become",1
"began",1
"brigham",1
"calculated",1
"care",3
"carry",1
"causes",1
"colleagues",1
"commercially",1
"compared",1
"continue",1
"cost",2
"costs",2
"could",2
"covid",3
"cut",1
"day",2
"decontaminating",1
"demand",1
"developing",1
"different",1
"disposable",2
"dramatically",1
"drops",1
"encounter",1
"engineering",1
"environmental",3
"equipment",1
"especially",1
"essential",1
"estimated",1
"even",2
"every",2
"expected",1
"face",1
"financial",2
"found",1
"fully",1
"gastroenterologist",1
"generate",1
"giovanni",1
"greater",1
"greatest",1
"health",3
"help",1
"high",1
"hospital",1
"incorporate",1
"last",1
"least",1
"mask",2
"masks",9
"mechanical",1
"medical",1
"mit",2
"much",1
"n",3
"new",2
"offer",1
"one",1
"pandemic",3
"parts",1
"patient",1
"percent",1
"perhaps",1
"personal",1
"prevent",1
"professor",1
"protective",1
"reduction",2
"regular",1
"reusable",3
"sarscov",1
"savings",1
"says",1
"scenarios",1
"senior",1
"several",1
"significant",1
"silicone",1
"since",1
"slows",1
"spread",1
"stand",1
"study",3
"time",1
"toll",1
"tons",1
"traverso",2
"unsurprisingly",1
"usage",1
"using",1
"virus",1
"waste",4
"wear",1
"wearing",1
"womens",1
"workers",3
"working",1
"world",1
"year",1
"yet",1
