"Var1","Freq"
"access",1
"action",2
"activities",1
"activity",3
"alkaloids",1
"also",1
"analysis",1
"antibacterial",7
"antibiotic",3
"antibiotics",1
"approaches",1
"assessment",1
"bioactivity",1
"biosynthesis",1
"brings",1
"chemical",1
"chemodiversity",1
"classified",1
"clinical",1
"compounds",4
"comprehensive",1
"consideration",1
"could",1
"creative",1
"crisis",2
"criteria",1
"derivatives",1
"development",1
"discovery",3
"discussed",2
"distribution",1
"drug",2
"ease",1
"effectiveness",1
"efforts",1
"emerging",1
"extracts",1
"field",1
"fill",1
"findings",1
"focusing",1
"forefront",1
"future",1
"growing",1
"growth",1
"help",1
"highlight",1
"identification",1
"included",1
"inhibitory",1
"innovative",1
"isolated",1
"key",1
"lead",1
"lies",1
"literature",1
"major",1
"many",1
"mechanism",1
"metabolites",1
"modes",1
"natural",1
"necessitates",1
"never",1
"nps",4
"performed",1
"phenolic",1
"pipeline",1
"plant",4
"plantderived",1
"plants",1
"potential",2
"products",1
"promising",1
"proven",1
"regarding",1
"relationship",1
"represent",1
"resistance",2
"response",1
"review",3
"reviewed",1
"rich",1
"rigorous",1
"selection",2
"source",1
"strength",1
"structureactivity",1
"studies",1
"summarize",1
"systematically",1
"terpenoids",1
"total",1
"trends",1
"tried",1
"unique",1
"various",1
"work",1
"worldwide",1
